TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
11049,v11049_Veh1,10FORALERE00AC1P,"v11049_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0328s, max@0.0305s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11053,v11053_Veh1,10SEATLERE00AC1P,"v11053_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05905s, max@0.05965s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11056,v11056_Veh1,10SEATLERE00AC1P,"v11056_093aq0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.037s, max@0.0374s","LEFT REAR SEAT CROSSMEMBER AX -> EXCEEDED CAL RANGE AT 23.1MS, 36.9MS",XG,gn,SELR
11064,v11064_Veh1,10SEATLERE00AC1P,"v11064_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02s, max@0.01565s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11066,v11066_Veh1,10DOORLERE00AC1P,"v11066_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0402s, max@0.0185s",LEFT REAR SILL AX,XG,gn,DSLR
11079,v11079_Veh1,10FORALERE00AC1P,"v11079_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0352s, max@0.021s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11081,v11081_Veh1,10FORALERE00AC1P,"v11081_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0146s, max@0.0149s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
11095,v11095_Veh1,10DOORLERE00AC1P,"v11095_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0196s, max@0.0178s",LEFT REAR SILL AX,XG,gn,DSLR
11096,v11096_Veh1,10SEATLERE00AC1P,"v11096_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02795s, max@0.03025s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
11129,v11129_Veh1,10FORALERE00AC1P,"v11129_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0328s, max@0.0295s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
