TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
6992,v6992_Veh1,10FORARIRE00AC1P,"v06992_089aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0367s, max@0.0351s",RIGHT REAR SEAT CROSSMEMBER X,XG,gn,FLRR
6992,v6992_Veh1,10ENGN000000AC1P,"v06992_090aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0413s, max@0.0487s",TOP OF ENGINE X,XG,gn,ENGN
6992,v6992_Veh1,10ENGN000100AC1P,"v06992_091aa0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=1650; min@0.0392s, max@0.0446s",BOTTOM OF ENGINE X,XG,gn,ENGN
6992,v6992_Veh1,10WHELLE0000AC1P,"v06992_092af0.uds; Sensor: type=AC, Attach=BRCL, Prefilter Frequency=1650; min@0.0386s, max@0.0363s",LEFT BRAKE CALIPER X:NO VALID DATA COLLECTED AFTER 40MS,XG,gn,BRCL
6992,v6992_Veh1,10WHELRI0000AC1P,"v06992_093aa0.uds; Sensor: type=AC, Attach=BRCR, Prefilter Frequency=1650; min@0.0413s, max@0.0455s",RIGHT BRAKE CALIPER X,XG,gn,BRCR
6992,v6992_Veh1,10FORALERE00AC3P,"v06992_094aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0373s, max@0.0155s",LEFT REAR SEAT CROSSMEMBER Z,ZG,gn,FLLR
6992,v6992_Veh1,10FORARIRE00AC3P,"v06992_095aa0.uds; Sensor: type=AC, Attach=FLRR, Prefilter Frequency=1650; min@0.0167s, max@0.0179s",RIGHT REAR SEAT CROSSMEMBER Z,ZG,gn,FLRR
6994,v6994_Veh1,10DOORLERE00AC1P,"v06994_089aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0156s, max@0.0158s",,XG,gn,DSLR
6994,v6994_Veh1,10DOORRIRE00AC1P,"v06994_090aa0.uds; Sensor: type=AC, Attach=DSRR, Prefilter Frequency=2900; min@0.0152s, max@0.015s",,XG,gn,DSRR
6994,v6994_Veh1,10ENGN000000AC1P,"v06994_091af0.uds; Sensor: type=AC, Attach=ENGN, Prefilter Frequency=2900; min@0.0324s, max@0.0381s","ENGINE TOP, CHANNEL FAILED AT 150.0 MSEC",XG,gn,ENGN
