test_id,left_channel,right_channel,body_source,engine_channel,engine_status,engine_duration_ms,whel_channel,energy_ratio,calc_crush_mm,calc_peak_g,status
7460,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Short (93.0ms),93.0,10WHELLE0000AC1P,1.048,677.8,34.85,Valid
7464,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,688.7,34.75,Valid
7471,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.004,708.6,56.66,Valid
7475,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,702.4,33.09,Valid
7478,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,704.5,38.85,Valid
7481,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.004,610.5,49.34,Valid
7482,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.01,678.9,35.43,Valid
7488,10SEATRIRERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.014,1041.6,34.7,Outlier
7494,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.001,690.0,37.34,Valid
7495,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Short (53.5ms),53.5,10WHELLE0000AC1P,1.005,686.8,46.29,Valid
7502,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,631.5,39.53,Valid
7504,10FORALERERDAC1P,10FORARIRERDAC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,549.7,58.1,Valid
7505,10DOORLERERDAC1P,10DOORRIRERDAC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,398.2,70.87,Valid
7509,10FORALERERDAC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Short (35.0ms),35.0,10WHELLE0000AC1P,1.003,760.9,25.98,Valid
7516,10SEATLERERDAC1P,10SEATRIRERDAC1P,SEAT_Rear,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.011,606.1,47.49,Valid
